"Date","Price","Open","High","Low","Change %"
"Sep 03","4.304","4.304","4.304","4.304","-2.91%"
"Aug 03","4.433","4.433","4.433","4.433","6.43%"
"Jul 03","4.165","4.165","4.165","4.165","9.81%"
"Jun 03","3.793","3.793","3.793","3.793","1.31%"
"May 03","3.744","3.744","3.744","3.744","-6.17%"
"Apr 03","3.990","3.990","3.990","3.990","1.63%"
"Mar 03","3.926","3.926","3.926","3.926","4.03%"
"Feb 03","3.774","3.774","3.774","3.774","-6.58%"
"Jan 03","4.040","4.040","4.040","4.040","-3.12%"
"Dec 02","4.170","4.170","4.170","4.170","-8.03%"
"Nov 02","4.534","4.534","4.534","4.534","4.54%"
"Oct 02","4.337","4.337","4.337","4.337","3.43%"
"Sep 02","4.193","4.193","4.193","4.193","-7.19%"
"Aug 02","4.518","4.518","4.518","4.518","-4.80%"
"Jul 02","4.746","4.746","4.746","4.746","-6.22%"
"Jun 02","5.061","5.061","5.061","5.061","-3.84%"
"May 02","5.263","5.263","5.263","5.263","0.73%"
"Apr 02","5.225","5.225","5.225","5.225","-3.03%"
"Mar 02","5.388","5.388","5.388","5.388","8.28%"
"Feb 02","4.976","4.976","4.976","4.976","0.12%"
"Jan 02","4.970","4.970","4.970","4.970","-2.83%"
"Dec 01","5.115","5.115","5.115","5.115","9.02%"
"Nov 01","4.692","4.692","4.692","4.692","3.62%"
"Oct 01","4.528","4.528","4.528","4.528","-8.27%"
"Sep 01","4.936","4.936","4.936","4.936","-2.37%"
"Aug 01","5.056","5.056","5.056","5.056","-3.53%"
"Jul 01","5.241","5.241","5.241","5.241","-5.04%"
"Jun 01","5.519","5.519","5.519","5.519","3.27%"
"May 01","5.344","5.344","5.344","5.344","2.12%"
"Apr 01","5.233","5.233","5.233","5.233","6.77%"
"Mar 01","4.901","4.901","4.901","4.901","-3.31%"
"Feb 01","5.069","5.069","5.069","5.069","-0.26%"
"Jan 01","5.082","5.082","5.082","5.082","-1.59%"
"Dec 00","5.164","5.164","5.164","5.164","-1.92%"
"Nov 00","5.265","5.265","5.265","5.265","-5.83%"
"Oct 00","5.591","5.591","5.591","5.591","-0.36%"
"Sep 00","5.611","5.611","5.611","5.611","-2.76%"
"Aug 00","5.770","5.770","5.770","5.770","1.32%"
"Jul 00","5.695","5.695","5.695","5.695","1.24%"
"Jun 00","5.625","5.625","5.625","5.625","-2.39%"
"May 00","5.763","5.763","5.763","5.763","0.17%"
"Apr 00","5.753","5.753","5.753","5.753","-3.29%"
"Mar 00","5.949","5.949","5.949","5.949","-1.88%"
"Feb 00","6.063","6.063","6.063","6.063","-4.25%"
"Jan 00","6.332","6.332","6.332","6.332","4.14%"
"Dec 99","6.080","6.080","6.080","6.080","0.95%"
"Nov 99","6.023","6.023","6.023","6.023","-0.17%"
"Oct 99","6.033","6.033","6.033","6.033","-2.35%"
"Sep 99","6.178","6.178","6.178","6.178","8.46%"
"Aug 99","5.696","5.696","5.696","5.696","-0.51%"
"Jul 99","5.725","5.725","5.725","5.725","6.77%"
"Jun 99","5.362","5.362","5.362","5.362","7.03%"
"May 99","5.010","5.010","5.010","5.010","4.79%"
"Apr 99","4.781","4.781","4.781","4.781","4.64%"
"Mar 99","4.569","4.569","4.569","4.569","-1.10%"
"Feb 99","4.620","4.620","4.620","4.620","10.45%"
"Jan 99","4.183","4.183","4.183","4.183","-3.55%"
"Dec 98","4.337","4.337","4.337","4.337","-7.84%"
"Nov 98","4.706","4.706","4.706","4.706","-4.41%"
"Oct 98","4.923","4.923","4.923","4.923","-2.13%"
"Sep 98","5.030","5.030","5.030","5.030","-9.24%"
"Aug 98","5.542","5.542","5.542","5.542","-9.06%"
"Jul 98","6.094","6.094","6.094","6.094","-1.47%"
"Jun 98","6.185","6.185","6.185","6.185","6.56%"
"May 98","5.804","5.804","5.804","5.804","-5.16%"
"Apr 98","6.120","6.120","6.120","6.120","-1.42%"
"Mar 98","6.208","6.208","6.208","6.208","-2.42%"
"Feb 98","6.362","6.362","6.362","6.362","1.87%"
"Jan 98","6.245","6.245","6.245","6.245","-4.53%"
"Dec 97","6.541","6.541","6.541","6.541","-3.47%"
"Nov 97","6.776","6.776","6.776","6.776","2.40%"
"Oct 97","6.617","6.617","6.617","6.617","2.29%"
"Sep 97","6.469","6.469","6.469","6.469","-7.99%"
"Aug 97","7.031","7.031","7.031","7.031","0.44%"
"Jul 97","7.000","7.000","7.000","7.000","-1.73%"
"Jun 97","7.123","7.123","7.123","7.123","0.94%"
"May 97","7.057","7.057","7.057","7.057","-1.19%"
"Apr 97","7.142","7.142","7.142","7.142","-4.61%"
"Mar 97","7.487","7.487","7.487","7.487","7.93%"
"Feb 97","6.937","6.937","6.937","6.937","-1.78%"
"Jan 97","7.063","7.063","7.063","7.063","-2.67%"
"Dec 96","7.257","7.257","7.257","7.257","3.17%"
"Nov 96","7.034","7.034","7.034","7.034","-2.63%"
"Oct 96","7.224","7.224","7.224","7.224","1.92%"
"Sep 96","7.088","7.088","7.088","7.088","-1.94%"
"Aug 96","7.228","7.228","7.228","7.228","-1.65%"
"Jul 96","7.349","7.349","7.349","7.349","-0.26%"
"Jun 96","7.368","7.368","7.368","7.368","-3.72%"
"May 96","7.653","7.653","7.653","7.653","1.38%"
"Apr 96","7.549","7.549","7.549","7.549","-1.65%"
"Mar 96","7.676","7.676","7.676","7.676","2.31%"
"Feb 96","7.503","7.503","7.503","7.503","10.24%"
"Jan 96","6.806","6.806","6.806","6.806","-2.38%"
"Dec 95","6.972","6.972","6.972","6.972","1.03%"
"Nov 95","6.901","6.901","6.901","6.901","-6.44%"
"Oct 95","7.376","7.376","7.376","7.376","-2.92%"
"Sep 95","7.598","7.598","7.598","7.598","-0.37%"
"Aug 95","7.626","7.626","7.626","7.626","-1.99%"
"Jul 95","7.781","7.781","7.781","7.781","-5.24%"
"Jun 95","8.211","8.211","8.211","8.211","6.17%"
"May 95","7.734","7.734","7.734","7.734","-6.99%"
"Apr 95","8.315","8.315","8.315","8.315","-0.32%"
"Mar 95","8.342","8.342","8.342","8.342","-2.50%"
"Feb 95","8.556","8.556","8.556","8.556","0.40%"
"Jan 95","8.522","8.522","8.522","8.522","-1.48%"
"Dec 94","8.650","8.650","8.650","8.650","3.33%"
"Nov 94","8.371","8.371","8.371","8.371","-3.19%"
"Oct 94","8.647","8.647","8.647","8.647","0.17%"
"Sep 94","8.632","8.632","8.632","8.632","3.65%"
"Aug 94","8.328","8.328","8.328","8.328","0.12%"
"Jul 94","8.318","8.318","8.318","8.318","-0.35%"
"Jun 94","8.347","8.347","8.347","8.347","1.64%"
"May 94","8.212","8.212","8.212","8.212","9.60%"
"Apr 94","7.493","7.493","7.493","7.493","5.73%"
"Mar 94","7.087","7.087","7.087","7.087","12.17%"
"Feb 94","6.318","6.318","6.318","6.318","10.82%"
"Jan 94","5.701","5.701","5.701","5.701","-94.63%"
"Dec 93","106.188","105.219","106.219","105.219","1.28%"
"Nov 93","104.844","103.938","104.844","103.938","0.60%"
"Oct 93","104.219","103.562","104.906","103.562","0.66%"
"Sep 93","103.531","103.844","103.906","103.156","-0.18%"
"Aug 93","103.719","102.844","103.844","102.844","0.88%"
"Jul 93","102.812","101.875","102.812","101.688","1.20%"
"Jun 93","101.594","100.625","101.594","100.625","0.93%"
"May 93","100.656","100.594","100.719","100.375","0.34%"
"Apr 93","100.312","102.094","102.406","100.156","-1.95%"
"Mar 93","102.312","102.844","103.250","102.062","-8.78%"
"Feb 93","112.156","111.750","112.156","111.410","0.76%"
"Jan 93","111.312","105.594","111.312","105.594","5.29%"
"Dec 92","105.719","104.750","105.844","104.750","1.05%"
"Nov 92","104.625","106.219","107.406","104.625","-1.79%"
"Oct 92","106.531","101.531","106.719","101.094","5.12%"
"Sep 92","101.344","100.125","101.656","96.281","1.25%"
"Aug 92","100.094","101.375","101.969","100.094","-1.26%"
