"Date","Price","Open","High","Low","Change %"
"May 06","5.036","5.036","5.036","5.036","2.52%"
"Apr 06","4.912","4.912","4.912","4.912","1.99%"
"Mar 06","4.816","4.816","4.816","4.816","4.60%"
"Feb 06","4.604","4.604","4.604","4.604","3.21%"
"Jan 06","4.461","4.461","4.461","4.461","2.43%"
"Dec 05","4.355","4.355","4.355","4.355","-1.69%"
"Nov 05","4.430","4.430","4.430","4.430","-0.34%"
"Oct 05","4.445","4.445","4.445","4.445","5.93%"
"Sep 05","4.196","4.196","4.196","4.196","8.65%"
"Aug 05","3.862","3.862","3.862","3.862","-6.53%"
"Jul 05","4.132","4.132","4.132","4.132","11.59%"
"Jun 05","3.703","3.703","3.703","3.703","-0.91%"
"May 05","3.737","3.737","3.737","3.737","-4.23%"
"Apr 05","3.902","3.902","3.902","3.902","-6.47%"
"Mar 05","4.172","4.172","4.172","4.172","3.91%"
"Feb 05","4.015","4.015","4.015","4.015","8.51%"
"Jan 05","3.700","3.700","3.700","3.700","2.61%"
"Dec 04","3.606","3.606","3.606","3.606","-2.17%"
"Nov 04","3.686","3.686","3.686","3.686","12.38%"
"Oct 04","3.280","3.280","3.280","3.280","-1.23%"
"Sep 04","3.321","3.321","3.321","3.321","-0.12%"
"Aug 04","3.325","3.325","3.325","3.325","-9.87%"
"Jul 04","3.689","3.689","3.689","3.689","-2.10%"
"Jun 04","3.768","3.768","3.768","3.768","1.45%"
"May 04","3.714","3.714","3.714","3.714","3.20%"
"Apr 04","3.599","3.599","3.599","3.599","29.55%"
"Mar 04","2.778","2.778","2.778","2.778","-5.51%"
"Feb 04","2.940","2.940","2.940","2.940","-6.34%"
"Jan 04","3.139","3.139","3.139","3.139","-2.30%"
"Dec 03","3.213","3.213","3.213","3.213","-1.26%"
"Nov 03","3.254","3.254","3.254","3.254","0.90%"
"Oct 03","3.225","3.225","3.225","3.225","14.36%"
"Sep 03","2.820","2.820","2.820","2.820","-18.59%"
"Aug 03","3.464","3.464","3.464","3.464","7.81%"
"Jul 03","3.213","3.213","3.213","3.213","33.15%"
"Jun 03","2.413","2.413","2.413","2.413","5.37%"
"May 03","2.290","2.290","2.290","2.290","-16.73%"
"Apr 03","2.750","2.750","2.750","2.750","1.63%"
"Mar 03","2.706","2.706","2.706","2.706","1.54%"
"Feb 03","2.665","2.665","2.665","2.665","-9.23%"
"Jan 03","2.936","2.936","2.936","2.936","7.59%"
"Dec 02","2.729","2.729","2.729","2.729","-16.31%"
"Nov 02","3.261","3.261","3.261","3.261","16.01%"
"Oct 02","2.811","2.811","2.811","2.811","9.63%"
"Sep 02","2.564","2.564","2.564","2.564","-19.57%"
"Aug 02","3.188","3.188","3.188","3.188","-8.42%"
"Jul 02","3.481","3.481","3.481","3.481","-13.86%"
"Jun 02","4.041","4.041","4.041","4.041","-7.25%"
"May 02","4.357","4.357","4.357","4.357","-1.69%"
"Apr 02","4.432","4.432","4.432","4.432","-8.01%"
"Mar 02","4.818","4.818","4.818","4.818","14.69%"
"Feb 02","4.201","4.201","4.201","4.201","-3.96%"
"Jan 02","4.374","4.374","4.374","4.374","0.85%"
"Dec 01","4.337","4.337","4.337","4.337","6.80%"
"Nov 01","4.061","4.061","4.061","4.061","16.93%"
"Oct 01","3.473","3.473","3.473","3.473","-8.75%"
"Sep 01","3.806","3.806","3.806","3.806","-13.09%"
"Aug 01","4.379","4.379","4.379","4.379","-3.23%"
"Jul 01","4.525","4.525","4.525","4.525","-8.95%"
"Jun 01","4.970","4.970","4.970","4.970","1.18%"
"May 01","4.912","4.912","4.912","4.912","0.49%"
"Apr 01","4.888","4.888","4.888","4.888","7.40%"
"Mar 01","4.551","4.551","4.551","4.551","-2.44%"
"Feb 01","4.665","4.665","4.665","4.665","-2.39%"
"Jan 01","4.779","4.779","4.779","4.779","-4.11%"
"Dec 00","4.984","4.984","4.984","4.984","-8.45%"
"Nov 00","5.444","5.444","5.444","5.444","-6.35%"
"Oct 00","5.813","5.813","5.813","5.813","-0.77%"
"Sep 00","5.858","5.858","5.858","5.858","-1.96%"
"Aug 00","5.975","5.975","5.975","5.975","-2.92%"
"Jul 00","6.155","6.155","6.155","6.155","-0.50%"
"Jun 00","6.186","6.186","6.186","6.186","-5.80%"
"May 00","6.567","6.567","6.567","6.567","0.41%"
"Apr 00","6.540","6.540","6.540","6.540","3.55%"
"Mar 00","6.316","6.316","6.316","6.316","-4.20%"
"Feb 00","6.593","6.593","6.593","6.593","-1.38%"
"Jan 00","6.685","6.685","6.685","6.685","5.41%"
"Dec 99","6.342","6.342","6.342","6.342","3.78%"
"Nov 99","6.111","6.111","6.111","6.111","2.81%"
"Oct 99","5.944","5.944","5.944","5.944","3.34%"
"Sep 99","5.752","5.752","5.752","5.752","-2.08%"
"Aug 99","5.874","5.874","5.874","5.874","1.40%"
"Jul 99","5.793","5.793","5.793","5.793","2.55%"
"Jun 99","5.649","5.649","5.649","5.649","1.15%"
"May 99","5.585","5.585","5.585","5.585","7.18%"
"Apr 99","5.211","5.211","5.211","5.211","2.04%"
"Mar 99","5.107","5.107","5.107","5.107","-2.56%"
"Feb 99","5.241","5.241","5.241","5.241","15.39%"
