"Date","Price","Open","High","Low","Change %"
"Jan 14","0.8206","0.8300","0.8351","0.8168","-1.16%"
"Dec 13","0.8302","0.8305","0.8468","0.8249","-0.02%"
"Nov 13","0.8304","0.8468","0.8480","0.8297","-1.94%"
"Oct 13","0.8468","0.8357","0.8589","0.8332","1.33%"
"Sep 13","0.8357","0.8531","0.8532","0.8345","-1.98%"
"Aug 13","0.8526","0.8746","0.8770","0.8502","-2.53%"
"Jul 13","0.8747","0.8556","0.8781","0.8482","2.28%"
"Jun 13","0.8552","0.8542","0.8593","0.8467","0.00%"
"May 13","0.8552","0.8478","0.8602","0.8401","0.88%"
"Apr 13","0.8477","0.8428","0.8638","0.8397","0.56%"
"Mar 13","0.8430","0.8614","0.8797","0.8416","-2.16%"
"Feb 13","0.8616","0.8563","0.8817","0.8446","0.62%"
"Jan 13","0.8563","0.8123","0.8608","0.8085","5.35%"
"Dec 12","0.8128","0.8105","0.8295","0.8034","0.12%"
"Nov 12","0.8118","0.8031","0.8134","0.7959","1.05%"
"Oct 12","0.8034","0.7955","0.8165","0.7941","1.02%"
"Sep 12","0.7953","0.7923","0.8117","0.7887","0.32%"
"Aug 12","0.7928","0.7846","0.7966","0.7812","1.02%"
"Jul 12","0.7848","0.8072","0.8078","0.7760","-2.62%"
"Jun 12","0.8059","0.8023","0.8157","0.7984","0.45%"
"May 12","0.8023","0.8155","0.8198","0.7948","-1.64%"
"Apr 12","0.8157","0.8339","0.8359","0.8121","-2.11%"
"Mar 12","0.8333","0.8372","0.8425","0.8282","-0.48%"
"Feb 12","0.8373","0.8302","0.8507","0.8262","0.89%"
"Jan 12","0.8299","0.8345","0.8409","0.8220","-0.36%"
"Dec 11","0.8329","0.8560","0.8627","0.8302","-2.74%"
"Nov 11","0.8564","0.8616","0.8666","0.8482","-0.56%"
"Oct 11","0.8612","0.8565","0.8833","0.8529","0.27%"
"Sep 11","0.8589","0.8851","0.8860","0.8531","-2.91%"
"Aug 11","0.8846","0.8758","0.8888","0.8642","0.90%"
"Jul 11","0.8767","0.9035","0.9085","0.8703","-3.02%"
"Jun 11","0.9040","0.8750","0.9071","0.8722","3.30%"
"May 11","0.8751","0.8872","0.9043","0.8608","-1.24%"
"Apr 11","0.8861","0.8839","0.8941","0.8713","0.28%"
"Mar 11","0.8836","0.8491","0.8856","0.8460","4.09%"
"Feb 11","0.8489","0.8546","0.8593","0.8355","-0.68%"
"Jan 11","0.8547","0.8570","0.8675","0.8284","-0.33%"
"Dec 10","0.8575","0.8345","0.8650","0.8333","2.74%"
"Nov 10","0.8346","0.8703","0.8820","0.8340","-4.04%"
"Oct 10","0.8697","0.8677","0.8944","0.8627","0.23%"
"Sep 10","0.8677","0.8263","0.8687","0.8199","4.97%"
"Aug 10","0.8266","0.8306","0.8364","0.8139","-0.64%"
"Jul 10","0.8319","0.8188","0.8537","0.8165","1.64%"
"Jun 10","0.8185","0.8466","0.8478","0.8067","-3.28%"
"May 10","0.8463","0.8710","0.8807","0.8420","-2.82%"
"Apr 10","0.8709","0.8900","0.8907","0.8599","-2.15%"
"Mar 10","0.8900","0.8988","0.9152","0.8869","-0.38%"
"Feb 10","0.8934","0.8693","0.8977","0.8655","3.10%"
"Jan 10","0.8665","0.8867","0.9029","0.8599","-2.22%"
"Dec 09","0.8862","0.9126","0.9153","0.8849","-2.86%"
"Nov 09","0.9123","0.8963","0.9156","0.8832","1.92%"
"Oct 09","0.8951","0.9145","0.9414","0.8911","-2.10%"
"Sep 09","0.9143","0.8801","0.9303","0.8702","3.91%"
"Aug 09","0.8799","0.8537","0.8841","0.8457","3.25%"
"Jul 09","0.8522","0.8524","0.8702","0.8504","0.01%"
"Jun 09","0.8521","0.8730","0.8870","0.8400","-2.57%"
"May 09","0.8746","0.8949","0.9040","0.8652","-2.17%"
"Apr 09","0.8940","0.9243","0.9256","0.8783","-3.36%"
"Mar 09","0.9251","0.8836","0.9497","0.8811","4.48%"
"Feb 09","0.8854","0.8825","0.9084","0.8637","0.49%"
"Jan 09","0.8811","0.9555","0.9653","0.8808","-7.81%"
"Dec 08","0.9557","0.8271","0.9805","0.8240","15.86%"
"Nov 08","0.8249","0.7930","0.8665","0.7840","4.11%"
"Oct 08","0.7923","0.7919","0.8196","0.7695","0.05%"
"Sep 08","0.7919","0.8112","0.8188","0.7843","-1.70%"
"Aug 08","0.8056","0.7864","0.8077","0.7791","2.44%"
"Jul 08","0.7864","0.7903","0.8023","0.7840","-0.52%"
"Jun 08","0.7905","0.7869","0.8035","0.7847","0.75%"
"May 08","0.7846","0.7857","0.8037","0.7766","-0.20%"
"Apr 08","0.7862","0.7948","0.8099","0.7821","-1.17%"
"Mar 08","0.7955","0.7639","0.7982","0.7591","4.11%"
"Feb 08","0.7641","0.7476","0.7680","0.7401","2.18%"
"Jan 08","0.7478","0.7340","0.7615","0.7334","1.73%"
"Dec 07","0.7351","0.7121","0.7391","0.7087","3.35%"
"Nov 07","0.7113","0.6956","0.7216","0.6918","2.24%"
"Oct 07","0.6957","0.6972","0.7021","0.6891","-0.22%"
"Sep 07","0.6972","0.6755","0.7029","0.6737","3.09%"
"Aug 07","0.6763","0.6736","0.6826","0.6718","0.37%"
"Jul 07","0.6738","0.6741","0.6798","0.6677","-0.04%"
"Jun 07","0.6741","0.6792","0.6809","0.6706","-0.77%"
"May 07","0.6793","0.6820","0.6859","0.6754","-0.47%"
"Apr 07","0.6825","0.6790","0.6845","0.6745","0.56%"
