"Date","Price","Open","High","Low","Change %"
"Jul 14","0.313","0.353","0.398","0.284","-10.32%"
"Jun 14","0.349","0.427","0.491","0.339","-18.46%"
"May 14","0.428","0.553","0.584","0.401","-22.32%"
"Apr 14","0.551","0.631","0.705","0.537","-12.95%"
"Mar 14","0.633","0.623","0.728","0.559","-5.52%"
"Feb 14","0.670","0.652","0.733","0.571","2.92%"
"Jan 14","0.651","0.960","0.969","0.645","-29.77%"
"Dec 13","0.927","0.663","0.967","0.659","41.74%"
"Nov 13","0.654","0.654","0.739","0.596","-1.36%"
"Oct 13","0.663","0.793","0.930","0.645","-16.08%"
"Sep 13","0.790","0.848","1.116","0.769","-3.89%"
"Aug 13","0.822","0.635","0.951","0.583","24.36%"
"Jul 13","0.661","0.742","0.776","0.486","-9.82%"
"Jun 13","0.733","0.493","0.939","0.488","46.89%"
"May 13","0.499","0.325","0.546","0.267","50.76%"
"Apr 13","0.331","0.298","0.396","0.260","8.17%"
"Mar 13","0.306","0.427","0.551","0.266","-30.14%"
"Feb 13","0.438","0.778","0.785","0.408","-42.37%"
"Jan 13","0.760","0.345","0.834","0.333","166.67%"
"Dec 12","0.285","0.400","0.464","0.255","-29.80%"
"Nov 12","0.406","0.496","0.509","0.336","-17.48%"
"Oct 12","0.492","0.526","0.669","0.475","-2.96%"
"Sep 12","0.507","0.330","0.727","0.320","47.38%"
"Aug 12","0.344","0.310","0.513","0.269","12.79%"
"Jul 12","0.305","0.589","0.631","0.216","-49.92%"
"Jun 12","0.609","0.343","0.709","0.296","76.01%"
"May 12","0.346","0.626","0.634","0.341","-42.62%"
"Apr 12","0.603","0.835","0.867","0.594","-24.44%"
"Mar 12","0.798","0.818","1.106","0.733","-1.60%"
"Feb 12","0.811","0.750","0.996","0.740","9.01%"
"Jan 12","0.744","0.749","0.982","0.722","-0.13%"
"Dec 11","0.745","1.173","1.193","0.739","-35.89%"
"Nov 11","1.162","1.039","1.354","0.849","-0.34%"
"Oct 11","1.166","1.106","1.539","0.973","0.09%"
"Sep 11","1.165","1.344","1.487","0.803","-11.88%"
"Aug 11","1.322","1.765","1.778","1.099","-23.72%"
"Jul 11","1.733","2.293","2.320","1.629","-24.06%"
"Jun 11","2.282","2.327","2.398","1.978","-0.39%"
"May 11","2.291","2.629","2.749","2.231","-11.99%"
"Apr 11","2.603","2.710","2.845","2.555","-2.80%"
"Mar 11","2.678","2.414","2.731","2.308","11.82%"
"Feb 11","2.395","2.426","2.572","2.322","0.17%"
"Jan 11","2.391","1.789","2.463","1.760","29.80%"
"Dec 10","1.842","1.693","2.112","1.685","9.51%"
"Nov 10","1.682","1.722","1.864","1.479","-2.04%"
"Oct 10","1.717","1.508","1.851","1.359","15.00%"
"Sep 10","1.493","1.208","1.590","1.182","24.83%"
"Aug 10","1.196","1.679","1.719","1.187","-28.13%"
"Jul 10","1.664","1.467","1.814","1.443","15.24%"
"Jun 10","1.444","1.505","1.670","1.375","-7.14%"
"May 10","1.555","2.009","2.051","1.402","-21.86%"
"Apr 10","1.990","2.141","2.266","1.913","-7.10%"
"Mar 10","2.142","2.138","2.251","2.090","0.61%"
"Feb 10","2.129","2.266","2.351","2.106","-6.75%"
"Jan 10","2.283","2.467","2.503","2.259","-6.36%"
"Dec 09","2.438","2.237","2.451","2.151","8.84%"
"Nov 09","2.240","2.416","2.558","2.177","-7.55%"
"Oct 09","2.423","2.397","2.564","2.269","1.55%"
"Sep 09","2.386","2.371","2.530","2.267","-0.17%"
"Aug 09","2.390","2.427","2.734","2.348","-0.87%"
"Jul 09","2.411","2.487","2.618","2.321","-3.33%"
"Jun 09","2.494","2.667","2.953","2.467","-6.06%"
"May 09","2.655","2.361","2.743","2.340","11.88%"
"Apr 09","2.373","2.249","2.538","2.191","5.47%"
"Mar 09","2.250","2.184","2.498","1.993","1.76%"
"Feb 09","2.211","2.464","2.505","2.029","-10.27%"
"Jan 09","2.464","2.341","2.598","2.145","4.81%"
"Dec 08","2.351","2.631","2.875","2.270","-11.75%"
"Nov 08","2.664","3.212","3.235","2.584","-15.88%"
"Oct 08","3.167","3.754","3.812","3.038","-15.75%"
"Sep 08","3.759","4.100","4.179","3.653","-8.41%"
"Aug 08","4.104","4.291","4.330","3.889","-3.68%"
"Jul 08","4.261","4.635","4.778","4.261","-8.40%"
"Jun 08","4.652","4.307","4.789","4.170","8.14%"
"May 08","4.302","3.872","4.342","3.745","10.53%"
"Apr 08","3.892","3.563","4.008","3.444","9.36%"
"Mar 08","3.559","3.344","3.716","3.191","6.11%"
"Feb 08","3.354","3.543","3.658","3.304","-5.89%"
"Jan 08","3.564","4.104","4.163","3.339","-13.56%"
"Dec 07","4.123","3.896","4.182","3.769","5.50%"
"Nov 07","3.908","4.199","4.238","3.708","-6.93%"
"Oct 07","4.199","4.179","4.357","3.947","0.96%"
"Sep 07","4.159","4.123","4.269","3.919","2.14%"
"Aug 07","4.072","4.072","4.072","4.072","-5.28%"
"Jul 07","4.299","4.299","4.299","4.299","-4.42%"
"Jun 07","4.498","4.498","4.498","4.498","2.34%"
"May 07","4.395","4.395","4.395","4.395","4.87%"
"Apr 07","4.191","4.191","4.191","4.191","4.46%"
"Mar 07","4.012","4.012","4.012","4.012","4.37%"
"Feb 07","3.844","3.844","3.844","3.844","-4.71%"
"Jan 07","4.034","4.034","4.034","4.034","2.70%"
"Dec 06","3.928","3.928","3.928","3.928","7.00%"
"Nov 06","3.671","3.671","3.671","3.671","-1.58%"
"Oct 06","3.730","3.730","3.730","3.730","3.38%"
"Sep 06","3.608","3.608","3.608","3.608","-0.47%"
"Aug 06","3.625","3.625","3.625","3.625","-2.00%"
"Jul 06","3.699","3.699","3.699","3.699","-3.07%"
"Jun 06","3.816","3.816","3.816","3.816","4.86%"
"May 06","3.639","3.639","3.639","3.639","-2.99%"
"Apr 06","3.751","3.751","3.751","3.751","3.79%"
"Mar 06","3.614","3.614","3.614","3.614","9.65%"
"Feb 06","3.296","3.296","3.296","3.296","3.52%"
"Jan 06","3.184","3.184","3.184","3.184","2.94%"
"Dec 05","3.093","3.093","3.093","3.093","-0.51%"
"Nov 05","3.109","3.109","3.109","3.109","3.29%"
"Oct 05","3.010","3.010","3.010","3.010","9.77%"
"Sep 05","2.742","2.742","2.742","2.742","5.79%"
"Aug 05","2.592","2.592","2.592","2.592","-1.59%"
"Jul 05","2.634","2.634","2.634","2.634","4.23%"
"Jun 05","2.527","2.527","2.527","2.527","-6.27%"
"May 05","2.696","2.696","2.696","2.696","-3.44%"
"Apr 05","2.792","2.792","2.792","2.792","-8.19%"
"Mar 05","3.041","3.041","3.041","3.041","-0.91%"
"Feb 05","3.069","3.069","3.069","3.069","5.39%"
"Jan 05","2.912","2.912","2.912","2.912","-3.96%"
"Dec 04","3.032","3.032","3.032","3.032","-1.11%"
"Nov 04","3.066","3.066","3.066","3.066","-3.16%"
"Oct 04","3.166","3.166","3.166","3.166","-3.74%"
"Sep 04","3.289","3.289","3.289","3.289","-2.72%"
"Aug 04","3.381","3.381","3.381","3.381","-4.09%"
"Jul 04","3.525","3.525","3.525","3.525","-2.65%"
"Jun 04","3.621","3.621","3.621","3.621","2.69%"
"May 04","3.526","3.526","3.526","3.526","2.11%"
"Apr 04","3.453","3.453","3.453","3.453","11.21%"
"Mar 04","3.105","3.105","3.105","3.105","-5.07%"
"Feb 04","3.271","3.271","3.271","3.271","-3.62%"
"Jan 04","3.394","3.394","3.394","3.394","-3.14%"
"Dec 03","3.504","3.504","3.504","3.504","-6.66%"
"Nov 03","3.754","3.754","3.754","3.754","4.60%"
"Oct 03","3.589","3.589","3.589","3.589","15.48%"
"Sep 03","3.108","3.108","3.108","3.108","-9.49%"
"Aug 03","3.434","3.434","3.434","3.434","1.33%"
"Jul 03","3.389","3.389","3.389","3.389","15.12%"
"Jun 03","2.944","2.944","2.944","2.944","3.33%"
"May 03","2.849","2.849","2.849","2.849","-12.01%"
"Apr 03","3.238","3.238","3.238","3.238","0.22%"
"Mar 03","3.231","3.231","3.231","3.231","9.75%"
"Feb 03","2.944","2.944","2.944","2.944","-9.69%"
"Jan 03","3.260","3.260","3.260","3.260","-3.32%"
"Dec 02","3.372","3.372","3.372","3.372","-11.15%"
"Nov 02","3.795","3.795","3.795","3.795","-0.32%"
"Oct 02","3.807","3.807","3.807","3.807","6.58%"
"Sep 02","3.572","3.572","3.572","3.572","-11.41%"
"Aug 02","4.032","4.032","4.032","4.032","-3.63%"
"Jul 02","4.184","4.184","4.184","4.184","-7.02%"
"Jun 02","4.500","4.500","4.500","4.500","-4.64%"
"May 02","4.719","4.719","4.719","4.719","0.77%"
"Apr 02","4.683","4.683","4.683","4.683","-4.58%"
"Mar 02","4.908","4.908","4.908","4.908","9.31%"
"Feb 02","4.490","4.490","4.490","4.490","0.20%"
"Jan 02","4.481","4.481","4.481","4.481","1.79%"
"Dec 01","4.402","4.402","4.402","4.402","9.20%"
"Nov 01","4.031","4.031","4.031","4.031","8.16%"
"Oct 01","3.727","3.727","3.727","3.727","-8.88%"
"Sep 01","4.090","4.090","4.090","4.090","-2.69%"
"Aug 01","4.203","4.203","4.203","4.203","-4.74%"
"Jul 01","4.412","4.412","4.412","4.412","-3.77%"
"Jun 01","4.585","4.585","4.585","4.585","-2.92%"
"May 01","4.723","4.723","4.723","4.723","-0.86%"
"Apr 01","4.764","4.764","4.764","4.764","10.69%"
"Mar 01","4.304","4.304","4.304","4.304","-3.82%"
"Feb 01","4.475","4.475","4.475","4.475","-0.73%"
"Jan 01","4.508","4.508","4.508","4.508","0.74%"
"Dec 00","4.475","4.475","4.475","4.475","-7.04%"
"Nov 00","4.814","4.814","4.814","4.814","-5.22%"
"Oct 00","5.079","5.079","5.079","5.079","0.24%"
"Sep 00","5.067","5.067","5.067","5.067","-3.26%"
"Aug 00","5.238","5.238","5.238","5.238","2.01%"
"Jul 00","5.135","5.135","5.135","5.135","1.76%"
"Jun 00","5.046","5.046","5.046","5.046","0.14%"
"May 00","5.039","5.039","5.039","5.039","0.60%"
"Apr 00","5.009","5.009","5.009","5.009","3.04%"
"Mar 00","4.861","4.861","4.861","4.861","-4.42%"
"Feb 00","5.086","5.086","5.086","5.086","0.67%"
"Jan 00","5.052","5.052","5.052","5.052","5.14%"
"Dec 99","4.805","4.805","4.805","4.805","4.16%"
"Nov 99","4.613","4.613","4.613","4.613","0.24%"
"Oct 99","4.602","4.602","4.602","4.602","4.12%"
"Sep 99","4.420","4.420","4.420","4.420","2.65%"
"Aug 99","4.306","4.306","4.306","4.306","2.77%"
"Jul 99","4.190","4.190","4.190","4.190","14.92%"
"Jun 99","3.646","3.646","3.646","3.646","7.30%"
"May 99","3.398","3.398","3.398","3.398","6.39%"
"Apr 99","3.194","3.194","3.194","3.194","-6.00%"
"Mar 99","3.398","3.398","3.398","3.398","-4.17%"
"Feb 99","3.546","3.546","3.546","3.546","10.26%"
"Jan 99","3.216","3.216","3.216","3.216","-3.13%"
"Dec 98","3.320","3.320","3.320","3.320","-5.44%"
"Nov 98","3.511","3.511","3.511","3.511","-6.00%"
"Oct 98","3.735","3.735","3.735","3.735","2.55%"
"Sep 98","3.642","3.642","3.642","3.642","-6.38%"
"Aug 98","3.890","3.890","3.890","3.890","-10.74%"
"Jul 98","4.358","4.358","4.358","4.358","-1.02%"
"Jun 98","4.403","4.403","4.403","4.403","-1.30%"
"May 98","4.461","4.461","4.461","4.461","-4.11%"
"Apr 98","4.652","4.652","4.652","4.652","2.67%"
"Mar 98","4.531","4.531","4.531","4.531","0.67%"
"Feb 98","4.501","4.501","4.501","4.501","-1.72%"
"Jan 98","4.580","4.580","4.580","4.580","-6.13%"
"Dec 97","4.879","4.879","4.879","4.879","-3.06%"
"Nov 97","5.033","5.033","5.033","5.033","0.14%"
"Oct 97","5.026","5.026","5.026","5.026","3.84%"
"Sep 97","4.840","4.840","4.840","4.840","-1.67%"
"Aug 97","4.922","4.922","4.922","4.922","9.48%"
"Jul 97","4.496","4.496","4.496","4.496","-0.29%"
"Jun 97","4.509","4.509","4.509","4.509","-4.75%"
"May 97","4.734","4.734","4.734","4.734","3.98%"
"Apr 97","4.553","4.553","4.553","4.553","-3.50%"
"Mar 97","4.718","4.718","4.718","4.718","5.41%"
"Feb 97","4.476","4.476","4.476","4.476","2.10%"
"Jan 97","4.384","4.384","4.384","4.384","-2.58%"
"Dec 96","4.500","4.500","4.500","4.500","0.83%"
"Nov 96","4.463","4.463","4.463","4.463","-5.72%"
"Oct 96","4.734","4.734","4.734","4.734","-7.10%"
"Sep 96","5.096","5.096","5.096","5.096","-1.20%"
"Aug 96","5.158","5.158","5.158","5.158","-1.96%"
"Jul 96","5.261","5.261","5.261","5.261","-2.74%"
"Jun 96","5.409","5.409","5.409","5.409","3.76%"
"May 96","5.213","5.213","5.213","5.213","3.35%"
"Apr 96","5.044","5.044","5.044","5.044","-2.72%"
"Mar 96","5.185","5.185","5.185","5.185","-0.02%"
"Feb 96","5.186","5.186","5.186","5.186","11.38%"
"Jan 96","4.656","4.656","4.656","4.656","-2.78%"
"Dec 95","4.789","4.789","4.789","4.789","-1.93%"
"Nov 95","4.883","4.883","4.883","4.883","-7.89%"
"Oct 95","5.301","5.301","5.301","5.301","-3.41%"
"Sep 95","5.488","5.488","5.488","5.488","-3.36%"
"Aug 95","5.679","5.679","5.679","5.679","-3.35%"
"Jul 95","5.876","5.876","5.876","5.876","-3.07%"
"Jun 95","6.062","6.062","6.062","6.062","6.91%"
"May 95","5.670","5.670","5.670","5.670","-8.86%"
"Apr 95","6.221","6.221","6.221","6.221","-2.06%"
"Mar 95","6.352","6.352","6.352","6.352","-7.55%"
"Feb 95","6.871","6.871","6.871","6.871","-2.37%"
"Jan 95","7.038","7.038","7.038","7.038","-3.58%"
"Dec 94","7.299","7.299","7.299","7.299","5.28%"
"Nov 94","6.933","6.933","6.933","6.933","-2.71%"
"Oct 94","7.126","7.126","7.126","7.126","0.28%"
"Sep 94","7.106","7.106","7.106","7.106","6.95%"
"Aug 94","6.644","6.644","6.644","6.644","4.98%"
